福島第一原子力発電所　モニタリングポスト　空間線量率
Date,Time,MP-1(μSv/h),MP-2(μSv/h),MP-3(μSv/h),MP-4(μSv/h),MP-5(μSv/h),MP-6(μSv/h),MP-7(μSv/h),MP-8(μSv/h)
2011/4/30,0:00,7,28,22,20,29,55,149,144
2011/4/30,0:10,7,28,22,20,29,55,149,144
2011/4/30,0:20,7,28,22,20,29,55,149,144
2011/4/30,0:30,7,28,22,20,29,55,149,144
2011/4/30,0:40,7,28,22,20,29,55,149,144
2011/4/30,0:50,7,28,22,20,29,55,149,144
2011/4/30,1:00,7,28,22,20,29,55,149,144
2011/4/30,1:10,7,28,22,20,29,55,149,144
2011/4/30,1:20,7,28,22,20,29,55,149,144
2011/4/30,1:30,7,28,22,20,29,55,149,144
2011/4/30,1:40,7,28,22,20,29,55,149,144
2011/4/30,1:50,7,28,22,20,29,55,149,144
2011/4/30,2:00,7,28,22,20,29,55,149,144
2011/4/30,2:10,7,28,22,20,29,55,149,144
2011/4/30,2:20,7,28,22,20,29,55,149,144
2011/4/30,2:30,7,28,22,20,29,55,149,144
2011/4/30,2:40,7,28,22,20,29,55,149,144
2011/4/30,2:50,7,28,22,20,29,55,149,144
2011/4/30,3:00,7,28,22,20,29,54,149,144
2011/4/30,3:10,7,28,22,20,29,54,149,144
2011/4/30,3:20,7,28,22,20,29,54,149,144
2011/4/30,3:30,7,28,22,20,29,54,149,144
2011/4/30,3:40,7,28,22,20,29,54,149,144
2011/4/30,3:50,7,28,22,20,29,54,149,144
2011/4/30,4:00,7,28,22,20,29,54,149,144
2011/4/30,4:10,7,28,22,20,29,54,149,144
2011/4/30,4:20,7,28,22,20,29,54,149,144
2011/4/30,4:30,7,28,22,20,29,54,149,144
2011/4/30,4:40,7,28,22,20,29,54,149,144
2011/4/30,4:50,7,28,22,20,29,54,149,144
2011/4/30,5:00,7,28,22,20,29,54,149,144
2011/4/30,5:10,7,28,22,20,29,54,149,144
2011/4/30,5:20,7,28,22,20,29,54,149,144
2011/4/30,5:30,7,28,22,20,29,54,149,144
2011/4/30,5:40,7,28,22,20,29,54,149,144
2011/4/30,5:50,7,28,22,20,29,54,149,144
2011/4/30,6:00,7,28,22,20,29,54,149,144
2011/4/30,6:10,7,28,22,20,29,54,149,144
2011/4/30,6:20,7,28,22,20,29,54,149,144
2011/4/30,6:30,7,28,22,20,29,54,149,144
2011/4/30,6:40,7,28,22,20,29,54,149,144
2011/4/30,6:50,7,28,22,20,29,54,149,144
2011/4/30,7:00,7,28,22,20,29,54,149,144
2011/4/30,7:10,7,28,22,20,29,54,149,144
2011/4/30,7:20,7,28,22,20,29,54,149,144
2011/4/30,7:30,7,28,22,20,29,54,149,144
2011/4/30,7:40,7,28,22,20,29,54,149,144
2011/4/30,7:50,7,28,22,20,29,54,149,144
2011/4/30,8:00,7,28,22,20,29,54,149,144
2011/4/30,8:10,7,28,22,20,29,54,149,144
2011/4/30,8:20,7,28,22,20,29,54,149,144
2011/4/30,8:30,7,28,22,20,29,54,149,144
2011/4/30,8:40,7,28,22,20,29,54,149,144
2011/4/30,8:50,7,28,22,20,29,54,149,144
2011/4/30,9:00,7,28,22,20,29,54,149,144
2011/4/30,9:10,7,28,22,20,29,54,149,144
2011/4/30,9:20,7,28,22,20,29,54,149,144
2011/4/30,9:30,7,28,22,20,29,54,149,144
2011/4/30,9:40,7,28,22,20,29,54,149,144
2011/4/30,9:50,7,28,22,20,29,54,149,144
2011/4/30,10:00,7,28,22,20,29,54,149,144
2011/4/30,10:10,7,28,22,20,29,54,149,144
2011/4/30,10:20,7,28,22,20,29,54,149,144
2011/4/30,10:30,7,28,22,20,29,54,149,144
2011/4/30,10:40,7,28,22,20,29,54,149,144
2011/4/30,10:50,7,28,22,20,29,54,149,144
2011/4/30,11:00,7,28,22,20,29,54,149,145
2011/4/30,11:10,7,28,22,20,29,54,149,145
2011/4/30,11:20,7,28,22,20,29,54,149,145
2011/4/30,11:30,7,28,22,20,29,54,149,144
2011/4/30,11:40,7,28,22,20,29,54,149,144
2011/4/30,11:50,7,28,22,20,29,54,149,144
2011/4/30,12:00,7,28,22,20,29,54,149,144
2011/4/30,12:10,7,28,22,20,29,54,149,144
2011/4/30,12:20,7,28,22,20,29,54,149,144
2011/4/30,12:30,7,28,22,20,29,54,149,144
2011/4/30,12:40,7,28,22,20,29,54,149,144
2011/4/30,12:50,7,28,22,20,29,54,149,144
2011/4/30,13:00,7,28,22,20,29,54,149,144
2011/4/30,13:10,7,28,22,20,29,54,149,144
2011/4/30,13:20,7,28,22,20,29,54,149,144
2011/4/30,13:30,7,28,22,20,29,54,149,144
2011/4/30,13:40,7,28,22,20,29,54,149,144
2011/4/30,13:50,7,28,22,20,29,54,149,144
2011/4/30,14:00,7,28,22,20,29,54,149,144
2011/4/30,14:10,7,28,22,20,29,54,149,144
